SEASON_ID,GAME_ID,GAME_DATE,HOME_TEAM,PTS_HOME,MIN_HOME,FGM_HOME,FGA_HOME,FG_PCT_HOME,FG3M_HOME,FG3A_HOME,FG3_PCT_HOME,FTM_HOME,FTA_HOME,FT_PCT_HOME,OREB_HOME,DREB_HOME,REB_HOME,AST_HOME,STL_HOME,BLK_HOME,TOV_HOME,PF_HOME,PLUS_MINUS_HOME,AWAY_TEAM,PTS_AWAY,MIN_AWAY,FGM_AWAY,FGA_AWAY,FG_PCT_AWAY,FG3M_AWAY,FG3A_AWAY,FG3_PCT_AWAY,FTM_AWAY,FTA_AWAY,FT_PCT_AWAY,OREB_AWAY,DREB_AWAY,REB_AWAY,AST_AWAY,STL_AWAY,BLK_AWAY,TOV_AWAY,PF_AWAY,PLUS_MINUS_AWAY,WINNING_TEAM
22009,0020900625,2010-01-22,TOR,101,239,32,75,0.427,6,20,0.3,31,42,0.738,11,34,45,15,8,2,14,24,5.0,MIL,96,240,35,79,0.443,5,26,0.192,21,24,0.875,6,33,39,15,7,5,11,30,-5.0,TOR
22009,0020900624,2010-01-22,PHI,92,240,37,86,0.43,3,15,0.2,15,18,0.833,9,40,49,23,11,8,12,20,11.0,DAL,81,240,32,81,0.395,3,15,0.2,14,17,0.824,9,33,42,20,8,5,15,18,-11.0,PHI
22009,0020900632,2010-01-22,NYK,105,239,41,91,0.451,6,22,0.273,17,21,0.81,13,29,42,23,2,2,6,24,-10.0,LAL,115,240,39,78,0.5,12,23,0.522,25,31,0.806,8,32,40,23,2,7,9,18,10.0,LAL
22009,0020900637,2010-01-23,IND,97,238,34,76,0.447,10,27,0.37,19,22,0.864,6,38,44,17,4,7,21,21,-10.0,PHI,107,240,40,97,0.412,7,11,0.636,20,23,0.87,16,36,52,19,12,3,10,20,10.0,PHI
22009,0020900644,2010-01-23,PHX,112,239,37,85,0.435,9,27,0.333,29,33,0.879,14,37,51,16,8,6,14,17,9.0,GSW,103,240,41,94,0.436,8,23,0.348,13,15,0.867,13,31,44,15,4,4,14,24,-9.0,PHX
22009,0020900638,2010-01-23,CLE,100,239,34,69,0.493,12,28,0.429,20,40,0.5,10,35,45,19,3,6,17,25,1.0,OKC,99,240,33,86,0.384,5,11,0.455,28,33,0.848,17,27,44,15,9,0,8,25,-1.0,CLE
22009,0020900641,2010-01-23,HOU,97,241,34,85,0.4,8,22,0.364,21,23,0.913,9,23,32,18,3,2,9,20,-7.0,CHI,104,241,39,73,0.534,7,12,0.583,19,26,0.731,8,34,42,17,3,12,13,28,7.0,CHI
22009,0020900639,2010-01-23,DET,93,239,32,75,0.427,4,21,0.19,25,34,0.735,11,29,40,19,4,1,9,23,-4.0,POR,97,241,34,71,0.479,8,22,0.364,21,26,0.808,4,31,35,27,7,0,9,24,4.0,POR
22009,0020900642,2010-01-23,MIL,127,241,49,86,0.57,11,23,0.478,18,21,0.857,9,36,45,36,7,7,15,26,33.0,MIN,94,241,33,86,0.384,2,13,0.154,26,37,0.703,13,24,37,15,7,0,13,23,-33.0,MIL
22009,0020900640,2010-01-23,MIA,115,240,44,78,0.564,6,15,0.4,21,32,0.656,11,30,41,21,5,8,10,22,31.0,SAC,84,242,32,73,0.438,2,11,0.182,18,32,0.563,9,24,33,15,6,5,13,20,-31.0,MIA
22009,0020900646,2010-01-24,NYK,78,241,29,86,0.337,4,25,0.16,16,21,0.762,22,24,46,14,4,2,16,15,-50.0,DAL,128,239,50,86,0.581,12,22,0.545,16,17,0.941,10,35,45,25,10,2,10,17,50.0,DAL
22009,0020900648,2010-01-24,TOR,106,241,39,82,0.476,7,18,0.389,21,26,0.808,10,29,39,18,4,5,10,13,1.0,LAL,105,239,45,98,0.459,6,19,0.316,9,9,1.0,16,35,51,19,4,6,12,18,-1.0,TOR
